date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab,away_avg,home_avg,raw_date,game_id
2025-08-28,,한화,키움,9,3,승,패,15.0,9.0,2.0,1.0,43.0,34.0,0.3488,0.2647,20250828,20250828HHWO0
2025-08-28,,삼성,두산,6,7,패,승,11.0,13.0,0.0,1.0,36.0,37.0,0.3056,0.3514,20250828,20250828SSOB0
2025-08-28,,KIA,SSG,10,6,승,패,12.0,5.0,3.0,1.0,36.0,32.0,0.3333,0.1562,20250828,20250828HTSK0
2025-08-28,,LG,NC,4,3,승,패,10.0,11.0,1.0,2.0,35.0,33.0,0.2857,0.3333,20250828,20250828LGNC0
2025-08-29,,키움,LG,3,2,승,패,9.0,9.0,0.0,0.0,37.0,36.0,0.2432,0.25,20250829,20250829WOLG0
2025-08-29,,NC,SSG,0,8,패,승,2.0,10.0,0.0,2.0,29.0,29.0,0.069,0.3448,20250829,20250829NCSK0
2025-08-29,,두산,롯데,7,1,승,패,11.0,5.0,1.0,0.0,32.0,32.0,0.3438,0.1562,20250829,20250829OBLT0
2025-08-29,,KIA,KT,10,1,승,패,11.0,4.0,3.0,0.0,36.0,31.0,0.3056,0.129,20250829,20250829HTKT0
2025-08-29,,삼성,한화,5,3,승,패,12.0,5.0,1.0,0.0,40.0,33.0,0.3,0.1515,20250829,20250829SSHH0
2025-08-30,,키움,LG,5,6,패,승,9.0,13.0,0.0,0.0,34.0,34.0,0.2647,0.3824,20250830,20250830WOLG0
2025-08-30,,NC,SSG,12,2,승,패,16.0,5.0,1.0,1.0,39.0,32.0,0.4103,0.1562,20250830,20250830NCSK0
2025-08-30,,두산,롯데,8,8,무,무,12.0,10.0,1.0,1.0,43.0,39.0,0.2791,0.2564,20250830,20250830OBLT0
2025-08-30,,KIA,KT,2,8,패,승,3.0,9.0,0.0,1.0,31.0,31.0,0.0968,0.2903,20250830,20250830HTKT0
2025-08-30,,삼성,한화,4,0,승,패,9.0,3.0,0.0,0.0,33.0,26.0,0.2727,0.1154,20250830,20250830SSHH0
2025-08-31,,KIA,KT,6,7,패,승,10.0,11.0,2.0,0.0,35.0,34.0,0.2857,0.3235,20250831,20250831HTKT0
2025-08-31,,삼성,한화,5,3,승,패,6.0,8.0,2.0,1.0,33.0,32.0,0.1818,0.25,20250831,20250831SSHH0
2025-08-31,,NC,SSG,8,10,패,승,14.0,14.0,3.0,3.0,40.0,36.0,0.35,0.3889,20250831,20250831NCSK0
2025-08-31,,키움,LG,6,5,승,패,9.0,10.0,0.0,0.0,37.0,34.0,0.2432,0.2941,20250831,20250831WOLG0
2025-08-31,,두산,롯데,1,5,패,승,11.0,9.0,0.0,1.0,35.0,32.0,0.3143,0.2812,20250831,20250831OBLT0
2025-09-02,,롯데,LG,2,3,패,승,6.0,8.0,0.0,0.0,32.0,30.0,0.1875,0.2667,20250902,20250902LTLG0
2025-09-02,,키움,SSG,1,6,패,승,5.0,14.0,0.0,1.0,32.0,36.0,0.1562,0.3889,20250902,20250902WOSK0
2025-09-02,,NC,KT,9,4,승,패,14.0,7.0,2.0,2.0,39.0,33.0,0.359,0.2121,20250902,20250902NCKT0
2025-09-02,,KIA,한화,3,21,패,승,10.0,21.0,1.0,3.0,34.0,43.0,0.2941,0.4884,20250902,20250902HTHH0
2025-09-02,,롯데,LG,2,3,패,승,6.0,8.0,0.0,0.0,32.0,30.0,0.1875,0.2667,20250902,20250902LTLG0
2025-09-02,,키움,SSG,1,6,패,승,5.0,14.0,0.0,1.0,32.0,36.0,0.1562,0.3889,20250902,20250902WOSK0
2025-09-02,,NC,KT,9,4,승,패,14.0,7.0,2.0,2.0,39.0,33.0,0.359,0.2121,20250902,20250902NCKT0
2025-09-02,,KIA,한화,3,21,패,승,10.0,21.0,1.0,3.0,34.0,43.0,0.2941,0.4884,20250902,20250902HTHH0
2025-09-03,,NC,한화,5,6,패,승,13.0,15.0,0.0,1.0,41.0,37.0,0.3171,0.4054,20250903,20250903NCHH0
2025-09-03,,SSG,KIA,2,1,승,패,13.0,9.0,0.0,0.0,40.0,32.0,0.325,0.2812,20250903,20250903SKHT0
2025-09-03,,키움,삼성,4,3,승,패,10.0,5.0,1.0,0.0,36.0,30.0,0.2778,0.1667,20250903,20250903WOSS0
2025-09-03,,롯데,KT,8,9,패,승,12.0,14.0,0.0,3.0,39.0,38.0,0.3077,0.3684,20250903,20250903LTKT0
2025-09-04,,키움,삼성,0,0,예정,예정,,,,,,,,,20250904,20250904WOSS0
2025-09-04,,두산,NC,12,3,승,패,15.0,4.0,1.0,1.0,36.0,32.0,0.4167,0.125,20250904,20250904OBNC0
2025-09-04,,LG,KT,10,8,승,패,15.0,10.0,2.0,2.0,39.0,34.0,0.3846,0.2941,20250904,20250904LGKT0
2025-09-04,,SSG,KIA,0,0,예정,예정,,,,,,,,,20250904,20250904SKHT0
2025-09-05,,롯데,SSG,5,7,패,승,6.0,11.0,2.0,4.0,35.0,32.0,0.1714,0.3438,20250905,20250905LTSK0
2025-09-05,,키움,삼성,3,8,패,승,7.0,9.0,1.0,2.0,33.0,34.0,0.2121,0.2647,20250905,20250905WOSS0
2025-09-05,,두산,NC,9,3,승,패,12.0,10.0,1.0,1.0,41.0,40.0,0.2927,0.25,20250905,20250905OBNC0
2025-09-05,,KT,KIA,0,0,예정,예정,,,,,,,,,20250905,20250905KTHT0
2025-09-06,,한화,삼성,7,4,승,패,14.0,7.0,0.0,1.0,38.0,32.0,0.3684,0.2188,20250906,20250906HHSS0
2025-09-06,,LG,두산,0,0,예정,예정,,,,,,,,,20250906,20250906LGOB0
2025-09-06,,롯데,SSG,0,0,예정,예정,,,,,,,,,20250906,20250906LTSK0
2025-09-06,,KIA,NC,8,4,승,패,13.0,5.0,1.0,1.0,38.0,31.0,0.3421,0.1613,20250906,20250906HTNC0
